#MetaNetX/TSV/stoichiometries.tsv 1.1
#ID	description	xrefs	gene_names
ETOHt2r	M_h@c	1	M_h	c
ETOHt2r	M_h@e	-1	M_h	e
EX_ac_e	M_ac@BOUNDARY	1	M_ac	BOUNDARY
EX_ac_e	M_ac@e	-1	M_ac	e
EX_acald_e	M_acald@BOUNDARY	1	M_acald	BOUNDARY
EX_acald_e	M_acald@e	-1	M_acald	e
EX_akg_e	M_akg@BOUNDARY	1	M_akg	BOUNDARY
EX_akg_e	M_akg@e	-1	M_akg	e
EX_co2_e	M_co2@BOUNDARY	1	M_co2	BOUNDARY
EX_co2_e	M_co2@e	-1	M_co2	e
EX_etoh_e	M_etoh@BOUNDARY	1	M_etoh	BOUNDARY
EX_etoh_e	M_etoh@e	-1	M_etoh	e
EX_for_e	M_for@BOUNDARY	1	M_for	BOUNDARY
EX_for_e	M_for@e	-1	M_for	e
EX_fru_e	M_fru@BOUNDARY	1	M_fru	BOUNDARY
EX_fru_e	M_fru@e	-1	M_fru	e
EX_fum_e	M_fum@BOUNDARY	1	M_fum	BOUNDARY
EX_fum_e	M_fum@e	-1	M_fum	e
EX_glc__D_e	M_glc__D@BOUNDARY	1	M_glc__D	BOUNDARY
EX_glc__D_e	M_glc__D@e	-1	M_glc__D	e
EX_gln__L_e	M_gln__L@BOUNDARY	1	M_gln__L	BOUNDARY
EX_gln__L_e	M_gln__L@e	-1	M_gln__L	e
EX_glu__L_e	M_glu__L@BOUNDARY	1	M_glu__L	BOUNDARY
EX_glu__L_e	M_glu__L@e	-1	M_glu__L	e
EX_h2o_e	M_h2o@BOUNDARY	1	M_h2o	BOUNDARY
EX_h2o_e	M_h2o@e	-1	M_h2o	e
EX_h_e	M_h@BOUNDARY	1	M_h	BOUNDARY
EX_h_e	M_h@e	-1	M_h	e
EX_lac__D_e	M_lac__D@BOUNDARY	1	M_lac__D	BOUNDARY
EX_lac__D_e	M_lac__D@e	-1	M_lac__D	e
EX_mal__L_e	M_mal__L@BOUNDARY	1	M_mal__L	BOUNDARY
EX_mal__L_e	M_mal__L@e	-1	M_mal__L	e
EX_nh4_e	M_nh4@BOUNDARY	1	M_nh4	BOUNDARY
EX_nh4_e	M_nh4@e	-1	M_nh4	e
EX_o2_e	M_o2@BOUNDARY	1	M_o2	BOUNDARY
EX_o2_e	M_o2@e	-1	M_o2	e
EX_pi_e	M_pi@BOUNDARY	1	M_pi	BOUNDARY
EX_pi_e	M_pi@e	-1	M_pi	e
EX_pyr_e	M_pyr@BOUNDARY	1	M_pyr	BOUNDARY
EX_pyr_e	M_pyr@e	-1	M_pyr	e
EX_succ_e	M_succ@BOUNDARY	1	M_succ	BOUNDARY
EX_succ_e	M_succ@e	-1	M_succ	e
FBA	M_dhap@c	1	M_dhap	c
FBA	M_fdp@c	-1	M_fdp	c
FBA	M_g3p@c	1	M_g3p	c
FBP	M_f6p@c	1	M_f6p	c
FBP	M_fdp@c	-1	M_fdp	c
FBP	M_h2o@c	-1	M_h2o	c
FBP	M_pi@c	1	M_pi	c
FORt	M_for@c	1	M_for	c
FORt	M_for@e	-1	M_for	e
FORt2	M_for@c	1	M_for	c
FORt2	M_for@e	-1	M_for	e
FORt2	M_h@c	1	M_h	c
FORt2	M_h@e	-1	M_h	e
FRD7	M_fum@c	-1	M_fum	c
FRD7	M_q8@c	1	M_q8	c
