#MetaNetX/TSV/stoichiometries.tsv 1.1
#ID	description	xrefs	gene_names
BIOMASS_EXT	BIOMASS@BOUNDARY	1	BIOMASS	BOUNDARY
BIOMASS_EXT	BIOMASS@c	-1	BIOMASS	c
MAR00001	MAM01569@e	1	MAM01569	e
MAR00001	MAM01570@e	-1	MAM01570	e
MAR00001	MAM02956@e	77243	MAM02956	e
MAR00002	MAM00234@e	1	MAM00234	e
MAR00002	MAM01807@e	1	MAM01807	e
MAR00002	MAM02040@e	-1	MAM02040	e
MAR00002	MAM02956@e	-1	MAM02956	e
MAR00003	MAM00234@e	-1	MAM00234	e
MAR00003	MAM00503@e	1	MAM00503	e
MAR00003	MAM01807@e	1	MAM01807	e
MAR00003	MAM02040@e	-1	MAM02040	e
MAR00004	MAM00503@c	1	MAM00503	c
MAR00004	MAM00503@e	-1	MAM00503	e
MAR00005	MAM00503@c	-1	MAM00503	c
MAR00005	MAM01807@c	1	MAM01807	c
MAR00005	MAM01983@c	1	MAM01983	c
MAR00005	MAM02040@c	-1	MAM02040	c
MAR00006	MAM02959@e	10385	MAM02959	e
MAR00006	MAM03146@e	1	MAM03146	e
MAR00006	MAM03147@e	-1	MAM03147	e
MAR00007	MAM00241@e	1	MAM00241	e
MAR00007	MAM01820@e	1	MAM01820	e
MAR00007	MAM02040@e	-1	MAM02040	e
MAR00007	MAM02959@e	-1	MAM02959	e
MAR00008	MAM00241@e	-1	MAM00241	e
MAR00008	MAM00510@e	1	MAM00510	e
MAR00008	MAM01820@e	1	MAM01820	e
MAR00008	MAM02040@e	-1	MAM02040	e
MAR00009	MAM00510@c	1	MAM00510	c
MAR00009	MAM00510@e	-1	MAM00510	e
MAR00010	MAM00510@c	-1	MAM00510	c
MAR00010	MAM01820@c	1	MAM01820	c
MAR00010	MAM01983@c	1	MAM01983	c
MAR00010	MAM02040@c	-1	MAM02040	c
MAR00011	MAM01807@e	-0.5	MAM01807	e
MAR00011	MAM01819@e	1	MAM01819	e
MAR00011	MAM01820@e	-0.5	MAM01820	e
