#MetaNetX/TSV/reactions.tsv 1.1
#ID	equation	source	mnxr_ID	classifs	pathways	xrefs
MAR00016	0.0001 MAM00003@e + 0.0023 MAM00008@e + 0.0003 MAM00010@e + 0.0002 MAM00017@e + 0.003 MAM00019@e + 0.0001 MAM00021@e + 0.0001 MAM00094@e + 0.0001 MAM00104@e + 0.0001 MAM00111@e + 0.0001 MAM00114@e + 0.0001 MAM00115@e + 0.0004 MAM00117@e + 0.0023 MAM00128@e + 0.0001 MAM00132@e + 0.0001 MAM00135@e + 0.0001 MAM00260@e + 0.0001 MAM00265@e + 0.0001 MAM00315@e + 0.0001 MAM00341@e + 0.0045 MAM01197@e + 0.0002 MAM01207@e + 0.001 MAM01235@e + 0.0037 MAM01238@e + 0.0008 MAM01291@e + 0.0051 MAM01362@e + 0.0002 MAM01373@e + 0.0001 MAM01432@e + 0.0001 MAM01582@e + 0.0002 MAM01583@e + 0.0046 MAM01584@e + 0.0204 MAM01585@e + 0.0012 MAM01689@e + 0.0021 MAM01696@e + 0.0009 MAM01741@e + 0.0009 MAM01771@e + 0.0001 MAM01778@e + 0.0009 MAM01784@e + 0.0005 MAM01932@e + 0.0001 MAM02053@e + 0.0061 MAM02344@e + 0.0001 MAM02385@e + 0.1573 MAM02387@e + 0.0073 MAM02389@e + 0.0001 MAM02456@e + 0.0001 MAM02457@e + 0.035 MAM02494@e + 0.0001 MAM02564@e + 0.0001 MAM02613@e + 0.383 MAM02646@e + 0.0004 MAM02648@e + 0.2478 MAM02674@e + 0.0395 MAM02675@e + 0.0039 MAM02690@e + 0.0001 MAM02745@e + 0.0613 MAM02938@e + 0.0001 MAM02939@e + 0.0001 MAM03045@e + 0.0001 MAM03051@e + 0.0001 MAM03153@e --> 1 MAM02561@e	MAR00016				vmhreaction:HMR_0016
MAR00017	1 MAM02909@e --> 0.125 MAM01410@e + 0.125 MAM01648@e + 0.125 MAM02108@e + 0.125 MAM02120@e + 0.125 MAM02614@e + 0.125 MAM02642@e + 0.125 MAM03117@e + 0.125 MAM03134@e	MAR00017				vmhreaction:HMR_0017
MAR00018	1 MAM01450@c <==> 1 MAM01450@e	MAR00018				mnx:MNXR96700;reactomeR:R-HSA-265443;rheaR:39747;rheaR:39750;vmhreaction:CHOLESTTDe;vmhreaction:r1050
MAR00019	1 MAM01451@e --> 1 MAM01451@l	MAR00019				vmhreaction:HMR_0019
MAR00020	1 MAM01451@c <==> 1 MAM01451@r	MAR00020				vmhreaction:HMR_0020
MAR00021	1 MAM01307@c + 1 MAM01365@c + 1 MAM01369@c + 1 MAM01370@c + 1 MAM01450@c + 1 MAM01451@r + 1 MAM01589@c + 1 MAM01628@c + 1 MAM01721@n + 1 MAM01722@n + 1 MAM01974@c + 1 MAM01975@c + 1 MAM01986@c + 1 MAM02125@c + 1 MAM02184@c + 1 MAM02360@c + 1 MAM02392@c + 1 MAM02426@c + 1 MAM02471@c + 1 MAM02724@c + 1 MAM02733@c + 1 MAM02750@c + 1 MAM02770@c + 1 MAM02847@c + 1 MAM02896@c + 1 MAM02908@c + 1 MAM02993@c + 1 MAM03089@c + 1 MAM03101@c + 1 MAM03135@c + 1 MAM03161@c + 1 MAM01602@c --> 1 MAM03970@c + 1 BIOMASS@c	MAR00021				vmhreaction:biomass_components
MAR00022	1 MAM00209@c + 1 MAM01401@c + 1 MAM01597@c + 1 MAM01600@m + 1 MAM01631@m + 1 MAM01803@c + 1 MAM02348@c + 1 MAM02553@c + 1 MAM02555@c + 1 MAM02842@c + 1 MAM02978@c + 1 MAM02980@c + 1 MAM03102@m + 0.1 MAM03139@c + 0.1 MAM03140@c + 0.1 MAM03143@c --> 1 MAM01602@c	MAR00022				vmhreaction:cofactors_vitamins
MAR00023	1 MAM00291@c + 1 MAM00427@c + 1 MAM00427@r + 1 MAM01008@c + 1 MAM01008@r + 1 MAM01022@c + 1 MAM01022@r + 1 MAM01024@c + 1 MAM01024@r + 1 MAM01026@r + 1 MAM01028@c + 1 MAM01028@r + 1 MAM01030@c + 1 MAM01030@r + 1 MAM01031@c + 1 MAM01031@r + 1 MAM01032@c + 1 MAM01060@c + 1 MAM01232@c + 1 MAM02624@c --> 1 MAM03139@c	MAR00023				vmhreaction:vitaminA
MAR00024	1 MAM01816@n + 1 MAM02757@n --> 1 MAM01268@n	MAR00024				vmhreaction:HMR_0024
MAR00025	1 MAM01268@n --> 1 MAM01268@c	MAR00025				vmhreaction:HMR_0025
MAR00026	1 MAM01268@c --> 1 MAM01268@r	MAR00026				vmhreaction:HMR_0026
MAR00027	1 MAM01268@c --> 1 MAM01268@m	MAR00027				vmhreaction:HMR_0027
MAR00028	1 MAM01268@c --> 1 MAM01268@x	MAR00028				vmhreaction:HMR_0028
MAR00029	1 MAM01268@c --> 1 MAM01268@e	MAR00029				vmhreaction:HMR_0029
MAR00030	1 MAM01268@c --> 1 MAM01268@n	MAR00030				vmhreaction:HMR_0030
MAR00031	0.19 MAM00240@c + 0.0014 MAM00511@c + 0.0024 MAM00560@c + 0.0006 MAM00656@c + 0.005 MAM01450@c + 0.34 MAM01451@c + 0.0008 MAM02629@c + 0.0092 MAM02684@c + 0.0034 MAM02685@c + 0.0016 MAM02750@c + 0.0002 MAM02808@c + 0.0004 MAM02908@c + 0.44 MAM02958@c + 0.005 MAM10005@c --> 1 MAM02392@c	MAR00031				vmhreaction:HMR_0031
MAR00032	1 MAM02392@c --> 0.19 MAM00240@c + 0.0014 MAM00511@c + 0.0024 MAM00560@c + 0.0006 MAM00656@c + 0.005 MAM01450@c + 0.34 MAM01451@c + 0.0008 MAM02629@c + 0.0092 MAM02684@c + 0.0034 MAM02685@c + 0.0016 MAM02750@c + 0.0002 MAM02808@c + 0.0004 MAM02908@c + 0.44 MAM02958@c + 0.005 MAM10005@c	MAR00032				vmhreaction:HMR_0032
MAR00033	1 MAM00611@c + 1 MAM00611@m + 1 MAM00622@c + 1 MAM00622@m --> 1 MAM03140@c	MAR00033				vmhreaction:vitaminD
MAR00034	1 MAM00766@c + 1 MAM01924@c --> 1 MAM03143@c	MAR00034				vmhreaction:vitaminE
MAR00035	1 MAM00030@c + 1 MAM00031@c + 1 MAM00033@c + 1 MAM00244@c + 1 MAM00246@c + 1 MAM00251@c + 1 MAM00539@c + 1 MAM00540@c + 1 MAM00541@c + 1 MAM00542@c + 1 MAM00543@c + 1 MAM00544@c + 1 MAM00567@c + 1 MAM00571@c + 1 MAM00637@c + 1 MAM00724@c + 1 MAM00917@c + 1 MAM00927@c + 1 MAM00928@c + 1 MAM00930@c + 1 MAM00944@c + 1 MAM00972@c + 1 MAM01156@c + 1 MAM01175@c + 1 MAM01195@c + 1 MAM01242@c + 1 MAM01297@c + 1 MAM01299@c + 1 MAM01301@c + 1 MAM01302@c + 1 MAM01376@c + 1 MAM01691@c + 1 MAM01929@c + 2 MAM02143@c + 1 MAM02144@c + 1 MAM02589@c + 1 MAM02607@c + 1 MAM02608@c + 1 MAM02850@c + 1 MAM02853@c + 1 MAM02855@c + 1 MAM03038@c + 1 MAM03042@c --> 1 MAM10002@e	MAR00035				vmhreaction:xenobiotics
