#MetaNetX/TSV/stoichiometries.tsv 1.1
#ID	description	xrefs	gene_names
A5PISO	M_ara5p@c	1	M_ara5p	c
A5PISO	M_ru5p__D@c	-1	M_ru5p__D	c
AACPS1	M_ACP@c	-1	M_ACP	c
AACPS1	M_amp@c	1	M_amp	c
AACPS1	M_atp@c	-1	M_atp	c
AACPS1	M_myrsACP@c	1	M_myrsACP	c
AACPS1	M_ppi@c	1	M_ppi	c
AACPS1	M_ttdca@c	-1	M_ttdca	c
AACPS2	M_ACP@c	-1	M_ACP	c
AACPS2	M_amp@c	1	M_amp	c
AACPS2	M_atp@c	-1	M_atp	c
AACPS2	M_ppi@c	1	M_ppi	c
AACPS2	M_tdeACP@c	1	M_tdeACP	c
AACPS2	M_ttdcea@c	-1	M_ttdcea	c
AACPS3	M_ACP@c	-1	M_ACP	c
AACPS3	M_amp@c	1	M_amp	c
AACPS3	M_atp@c	-1	M_atp	c
AACPS3	M_hdca@c	-1	M_hdca	c
AACPS3	M_palmACP@c	1	M_palmACP	c
AACPS3	M_ppi@c	1	M_ppi	c
AACPS4	M_ACP@c	-1	M_ACP	c
AACPS4	M_amp@c	1	M_amp	c
AACPS4	M_atp@c	-1	M_atp	c
AACPS4	M_hdcea@c	-1	M_hdcea	c
AACPS4	M_hdeACP@c	1	M_hdeACP	c
AACPS4	M_ppi@c	1	M_ppi	c
AACPS5	M_ACP@c	-1	M_ACP	c
AACPS5	M_amp@c	1	M_amp	c
AACPS5	M_atp@c	-1	M_atp	c
AACPS5	M_ocdcea@c	-1	M_ocdcea	c
AACPS5	M_octeACP@c	1	M_octeACP	c
AACPS5	M_ppi@c	1	M_ppi	c
AACPS6	M_ACP@c	-1	M_ACP	c
AACPS6	M_amp@c	1	M_amp	c
AACPS6	M_atp@c	-1	M_atp	c
AACPS6	M_ocdca@c	-1	M_ocdca	c
AACPS6	M_ocdcaACP@c	1	M_ocdcaACP	c
AACPS6	M_ppi@c	1	M_ppi	c
AACPS7	M_ACP@c	-1	M_ACP	c
AACPS7	M_amp@c	1	M_amp	c
AACPS7	M_atp@c	-1	M_atp	c
AACPS7	M_ddca@c	-1	M_ddca	c
AACPS7	M_ddcaACP@c	1	M_ddcaACP	c
AACPS7	M_ppi@c	1	M_ppi	c
AACPS8	M_ACP@c	-1	M_ACP	c
AACPS8	M_amp@c	1	M_amp	c
AACPS8	M_atp@c	-1	M_atp	c
AACPS8	M_dca@c	-1	M_dca	c
AACPS8	M_dcaACP@c	1	M_dcaACP	c
AACPS8	M_ppi@c	1	M_ppi	c
AACPS9	M_ACP@c	-1	M_ACP	c
AACPS9	M_amp@c	1	M_amp	c
AACPS9	M_atp@c	-1	M_atp	c
AACPS9	M_ocACP@c	1	M_ocACP	c
AACPS9	M_octa@c	-1	M_octa	c
AACPS9	M_ppi@c	1	M_ppi	c
AACTOOR	M_aact@c	-1	M_aact	c
AACTOOR	M_h2o2@c	1	M_h2o2	c
AACTOOR	M_h2o@c	-1	M_h2o	c
AACTOOR	M_mthgxl@c	1	M_mthgxl	c
AACTOOR	M_nh4@c	1	M_nh4	c
AACTOOR	M_o2@c	-1	M_o2	c
AADDGT	M_dtdp4aaddg@c	-1	M_dtdp4aaddg	c
AADDGT	M_dtdp@c	1	M_dtdp	c
AADDGT	M_h@c	1	M_h	c
AADDGT	M_unagamu@c	-1	M_unagamu	c
AADDGT	M_unagamuf@c	1	M_unagamuf	c
AAMYL	M_14glucan@c	-1	M_14glucan	c
AAMYL	M_malthx@c	1	M_malthx	c
AAMYLpp	M_14glucan@p	-1	M_14glucan	p
AAMYLpp	M_malthx@p	1	M_malthx	p
AB6PGH	M_arbt6p@c	-1	M_arbt6p	c
AB6PGH	M_g6p@c	1	M_g6p	c
AB6PGH	M_h2o@c	-1	M_h2o	c
AB6PGH	M_hqn@c	1	M_hqn	c
ABTA	M_4abut@c	-1	M_4abut	c
ABTA	M_akg@c	-1	M_akg	c
ABTA	M_glu__L@c	1	M_glu__L	c
ABTA	M_sucsal@c	1	M_sucsal	c
ABUTD	M_4abut@c	1	M_4abut	c
ABUTD	M_4abutn@c	-1	M_4abutn	c
ABUTD	M_h2o@c	-1	M_h2o	c
ABUTD	M_h@c	2	M_h	c
ABUTD	M_nad@c	-1	M_nad	c
ABUTD	M_nadh@c	1	M_nadh	c
ABUTt2pp	M_4abut@c	1	M_4abut	c
ABUTt2pp	M_4abut@p	-1	M_4abut	p
ABUTt2pp	M_h@c	1	M_h	c
ABUTt2pp	M_h@p	-1	M_h	p
ABUTtex	M_4abut@e	-1	M_4abut	e
ABUTtex	M_4abut@p	1	M_4abut	p
ACACCT	M_aacoa@c	1	M_aacoa	c
ACACCT	M_ac@c	1	M_ac	c
ACACCT	M_acac@c	-1	M_acac	c
ACACCT	M_accoa@c	-1	M_accoa	c
ACACT1r	M_aacoa@c	1	M_aacoa	c
ACACT1r	M_accoa@c	-2	M_accoa	c
ACACT1r	M_coa@c	1	M_coa	c
ACACT2r	M_3ohcoa@c	1	M_3ohcoa	c
ACACT2r	M_accoa@c	-1	M_accoa	c
ACACT2r	M_btcoa@c	-1	M_btcoa	c
ACACT2r	M_coa@c	1	M_coa	c
ACACT3r	M_3oocoa@c	1	M_3oocoa	c
ACACT3r	M_accoa@c	-1	M_accoa	c
ACACT3r	M_coa@c	1	M_coa	c
ACACT3r	M_hxcoa@c	-1	M_hxcoa	c
ACACT4r	M_3odcoa@c	1	M_3odcoa	c
ACACT4r	M_accoa@c	-1	M_accoa	c
ACACT4r	M_coa@c	1	M_coa	c
ACACT4r	M_occoa@c	-1	M_occoa	c
ACACT5r	M_3oddcoa@c	1	M_3oddcoa	c
ACACT5r	M_accoa@c	-1	M_accoa	c
ACACT5r	M_coa@c	1	M_coa	c
ACACT5r	M_dcacoa@c	-1	M_dcacoa	c
ACACT6r	M_3otdcoa@c	1	M_3otdcoa	c
ACACT6r	M_accoa@c	-1	M_accoa	c
ACACT6r	M_coa@c	1	M_coa	c
ACACT6r	M_ddcacoa@c	-1	M_ddcacoa	c
ACACT7r	M_3ohdcoa@c	1	M_3ohdcoa	c
ACACT7r	M_accoa@c	-1	M_accoa	c
ACACT7r	M_coa@c	1	M_coa	c
