#SOLVER	GUROBI
#METHOD	
#TOLERANCE	1e-08
#GROWTH	0.876992529900906	BIOMASS_Ec_iML1515_core_75p37M
#GROWTH_SUB	0.876992529900903	BIOMASS_Ec_iML1515_core_75p37M
BETALDHx	a
BETALDHy	a
BGLA1	a
BIOMASS_EXT	A
BIOMASS_Ec_iML1515_WT_75p37M	b
BIOMASS_Ec_iML1515_core_75p37M	A
BMOCOS	B
BMOGDS1	B
BMOGDS2	B
BPNT	A
BSORx	b
BSORy	b
BTNt2ipp	a
BTNtex	a
BTS5	A
BUTCT	a
BUTSO3abcpp	a
BUTSO3tex	a
BUTt2rpp	a
BUTtex	a
BWCOGDS1	B
BWCOGDS2	B
BWCOS	B
CA2t3pp	A
CA2tex	A
CADVtpp	A
CAT	A
CAt6pp	A
CBIAT	B
CBItonex	B
CBIuabcpp	B
CBL1abcpp	b
CBL1tonex	b
CBLAT	b
CBMD	A
CBMKr	A
CBPS	A
CCGS	B
CD2abcpp	A
CD2t3pp	A
CD2tex	B
CD2tpp	A
CDAPPA120	A
CDAPPA140	A
CDAPPA141	A
CDAPPA160	A
CDAPPA161	A
CDAPPA180	A
CDAPPA181	A
CDGR	B
CDGS	B
CDGUNPD	A
CDPMEK	A
CDPPH	A
CELBpts	a
CFAS160E	B
CFAS160G	B
CFAS180E	B
CFAS180G	B
CGLYabcpp	A
CGLYtex	A
CH4t2pp	a
CH4tex	a
CHLabcpp	A
CHLt2pp	A
CHLt3pp	A
CHLtex	a
CHOLATEtpp	B
CHOLD	a
CHOLID	B
CHORM	A
CHORS	A
CHRPL	A
CHTBSptspp	B
CHTBStex	B
CINNDO	B
CITL	A
CITt3pp	A
CITt7pp	A
CITtex	A
CLBtex	B
CLIPAabctex	B
CLPNH120pp	A
CLPNH140pp	A
CLPNH141pp	A
CLPNH160pp	A
CLPNH161pp	A
CLPNH180pp	A
CLPNH181pp	A
CLPNS120pp	A
CLPNS140pp	A
CLPNS141pp	A
CLPNS160pp	A
CLPNS161pp	A
CLPNS180pp	A
CLPNS181pp	A
CLt3_2pp	A
CLtex	A
CLtipp	A
CMPN	A
CMPtex	a
CMtex	A
CMtpp	A
CO2tex	A
CO2tpp	A
COBALT2abcpp	A
COBALT2t3pp	A
COBALT2tex	A
COBALT2tpp	A
COLIPAKpp	B
COLIPAPabctex	B
COLIPAabcpp	A
COLIPAabctex	a
CPGNR1	A
CPGNR2	A
CPGNR3	A
CPGNUtex	A
CPGNUtpp	A
CPGNabcpp	A
CPGNexs	A
CPGNtonex	A
CPH4S	B
CPL	a
CPMPS	b
CPPPGO	A
CPPPGO2	A
CRNBTCT	B
CRNCAL2	b
CRNCAR	b
CRNCBCT	b
CRNCDH	B
CRNDCAL2	b
CRNDabcpp	A
CRNDt2rpp	A
CRNDtex	b
CRNabcpp	A
CRNt2rpp	A
CRNt7pp	B
CRNt8pp	A
CRNtex	b
CS	A
CS1tex	B
CSND	A
CSNt2pp	a
CSNtex	a
CTBTCAL2	b
CTBTabcpp	A
CTBTt2rpp	A
CTECOAI6	A
CTECOAI7	A
CTECOAI8	A
CTPS2	A
CU1Opp	a
CU1abcpp	b
CU2abcpp	A
CU2tex	A
CU2tpp	A
CURR	B
CUt2pp	b
CUt3	b
CUtex	a
CXSAMS	B
CYANST	b
CYANSTpp	a
CYANtex	a
CYNTAH	a
CYNTt2pp	a
CYNTtex	a
CYSDDS	a
CYSDS	A
CYSDabcpp	a
CYSDtex	a
CYSItex	B
CYSItpp	B
CYSS	A
CYSSADS	B
CYSTA	b
CYSTL	A
CYSabc2pp	A
CYSabcpp	A
CYStex	A
CYStpp	A
CYTBD2pp	A
CYTBDpp	A
CYTBO3_4pp	A
CYTD	A
CYTDH	A
CYTDK1	A
CYTDK2	A
CYTDt2pp_copy1	A
CYTDt2pp_copy2	A
CYTDtex	A
CYTK1	A
CYTK2	A
DAAD	A
DADA	A
DADK	A
DADNt2pp	a
DADNtex	a
DAGK120	A
DAGK140	A
DAGK141	A
DAGK160	A
DAGK161	A
DAGK180	A
DAGK181	A
DALAt2pp	A
DALAtex	A
DAMPtex	a
DAPAL	a
DAPDC	A
DAPE	A
DAPabcpp	a
DAPtex	A
DASYN120	A
DASYN140	A
DASYN141	A
DASYN160	A
DASYN161	A
DASYN180	A
DASYN181	A
DATPHs	A
DB4PS	A
DBTS	A
DC6PDA	B
DCAtex	a
DCMPtex	a
DCTPD	A
DCYTD	A
DCYTt2pp	a
DCYTtex	a
DDCAtexi	a
DDGALK	a
DDGLCNt2rpp	a
DDGLCNtex	a
DDGLK	a
DDPA	A
DDPGALA	a
DGK1	A
DGMPtex	a
DGSNt2pp	a
DGSNtex	a
DGUNC	A
DHACOAH	a
DHAD1	A
DHAD2	A
DHAPT	A
DHAtex	A
DHAtpp	A
DHBD	A
DHBS	A
DHBSH	A
DHBSZ3FEabcpp	B
DHCIND	B
DHCINDO	a
DHCURR	B
DHDPRy	A
DHDPS	A
DHFR	A
DHFS	A
DHGLYH	A
DHMPTR	B
DHNAOT4	b
DHNCOAS	b
DHNCOAT	b
DHNPA2r	A
DHNPTE	B
DHORD2	A
DHORD5	A
DHORDfum	A
DHORTS	A
DHPPD	a
DHPPDA2	A
DHPS2	A
DHPStex	a
DHPStr	a
DHPTDCs2	A
DHPTDNR	b
DHPTDNRN	b
DHPTPE	B
DHQS	A
DHQTi	A
DIMPtex	a
DINSt2pp	a
DINStex	a
DKGLCNR1	b
DKGLCNR2x	b
DKGLCNR2y	b
DMATT	A
DMPPS	A
DMQMT	b
DMSOR1	b
DMSOR1pp	a
DMSOR2	b
DMSOR2pp	a
